text,substance_label,symptom_labels
"On cessation of the injections, the retrocorneal membrane grew rapidly to involve the entire posterior cornea.",none,['none']
Median patient age was 52 years.,none,['none']
A whole brain irradiation was performed for 37.5Gy with a fraction size of 2.5Gy and gefitinib was replaced with erlotinib on the 5th day after radiation therapy commenced for disease progressing.,none,['none']
Complex biochemical syndrome of hypocalcemia and hypoparathyroidism during cytotoxic treatment of an infant with leukemia.,none,['none']
The fastidious organism grew only on buffered charcoal yeast extract agar and was confirmed as L. micdadei by gene sequence analysis.,none,['none']
A patient who developed necrotizing pancreatitis after transcatheter arterial chemoembolization (TACE) for hepatocellular carcinoma (HCC) is presented.,none,['none']
RESULTS: Evidence of neurological improvement and rehabilitation potential after severe myelopathy due to intrathecal injection of doxorubicin.,none,['adverse_event']
"Diagnosis is often difficult and is typically only made in patients without another explanation for deteriorating renal function, and is often based solely on improvement after drug withdrawal.",none,['none']
An associated finding included a 2+ positive antinuclear antibody test with a titer of 1:320.,none,['none']
"Patients in the intensive care unit seldom have mechanical small-bowel obstruction, and obstruction due to medication bezoars is even less common.",none,['none']
CONCLUSION: This observation suggests that IFN in combination with ribavirin may offer an effective therapeutic option for liver transplant patients with severe recurrent hepatitis C.,none,['none']
NCSE has not previously been reported in LBD.,none,['none']
A less frequent side effect that is becoming more recognized is neurologic toxicity.,none,['none']
The catheter had no blood return from either lumen for >1 month.,none,['none']
"Our cases constitute the most severe cases of benzarone hepatotoxicity reported so far, and comprise the first cases of (sub)fulminant hepatitis and cirrhosis related to benzarone.",none,['adverse_event']
CONCLUSIONS: Cough has been encountered commonly after the administration of ACE inhibitors.,none,['none']
We discuss the limitations of conventional drug therapy and the lack of a sustained response to plasmapheresis.,none,['none']
There was also an improvement of the mesenteric arterial flow patterns on Doppler studies.,none,['none']
"Especially in small prostates, care should be taken to avoid this condition.",none,['none']
We describe two patients who developed hypophosphatemia as a consequence of this form of therapy.,none,['none']
A patient with disseminated herpes zoster developed a syndrome of inappropriate antidiuretic hormone and profound hyponatremia secondary to the administration of adenine arabinoside.,none,['adverse_event']
Both patients had received brief courses of spironolactone before arginine treatment.,none,['none']
Dermatologic exam demonstrated a severe reduction of fat tissue.,none,['none']
"Vitamin D toxicity complicating the treatment of senile, postmenopausal, and glucocorticoid-induced osteoporosis.",none,['none']
Ulcerative proctitis in juvenile systemic lupus erythematosus after ibuprofen treatment.,none,['adverse_event']
