Symptom,Precision,Recall,F1,Support
adverse_event,0.7943,0.8361,0.8147,2074
anxiety,0.9758,0.9809,0.9784,3087
confusion,0.3118,0.4860,0.3799,179
constipation,0.9979,0.9979,0.9979,470
dizziness,0.9490,0.9438,0.9464,729
drowsiness,0.9617,0.9544,0.9581,1317
dyspnea,0.7821,0.9531,0.8592,192
fatigue,0.9506,0.9577,0.9541,803
headache,0.9804,0.9877,0.9840,811
hematoma,0.0667,0.5000,0.1176,4
nausea,0.9828,0.9954,0.9890,1724
overdose,0.7543,0.9404,0.8371,235
pain,0.9927,0.9777,0.9851,3893
pruritus,0.9088,0.9920,0.9486,502
rash,0.9407,0.9597,0.9501,248
seizure,0.8724,0.9725,0.9197,218
vomiting,0.9314,0.9348,0.9331,276
none,0.9295,0.9356,0.9326,8685
