Epoch,Train_Loss,Val_Loss,Sub_Acc,Sym_F1
1,0.568439,0.310285,0.901850,0.873208
2,0.197555,0.292474,0.912450,0.907659
3,0.176708,0.300251,0.910550,0.926405
4,0.166298,0.294489,0.913850,0.930686
5,0.160210,0.280943,0.923550,0.931557
6,0.157281,0.301023,0.911000,0.934285
7,0.155671,0.293070,0.916450,0.937806
8,0.151774,0.273821,0.930550,0.938566
9,0.149687,0.291277,0.919750,0.938974
10,0.147567,0.287260,0.923500,0.940060
11,0.146656,0.282449,0.926100,0.943748
12,0.147655,0.290521,0.924500,0.940816
13,0.143430,0.278369,0.931200,0.945363
14,0.139508,0.276206,0.933300,0.944555
15,0.137725,0.274554,0.934950,0.945640
16,0.137221,0.282287,0.931250,0.948306
